"Cage","Date","Hour","Minute","HopsPerMinute","timestamp","Treatment","Sex","LightsOn","LightsOff","Phase"
15,2023-03-03,2,50,0,2023-03-03 02:50:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,51,0,2023-03-03 02:51:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,52,0,2023-03-03 02:52:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,53,0,2023-03-03 02:53:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,54,0,2023-03-03 02:54:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,55,0,2023-03-03 02:55:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,56,0,2023-03-03 02:56:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,57,0,2023-03-03 02:57:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,58,0,2023-03-03 02:58:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,59,0,2023-03-03 02:59:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,0,0,2023-03-03 03:00:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,1,0,2023-03-03 03:01:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,2,0,2023-03-03 03:02:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,3,0,2023-03-03 03:03:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,4,0,2023-03-03 03:04:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,5,0,2023-03-03 03:05:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,6,0,2023-03-03 03:06:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,7,0,2023-03-03 03:07:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,8,0,2023-03-03 03:08:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,9,0,2023-03-03 03:09:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,10,0,2023-03-03 03:10:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,11,0,2023-03-03 03:11:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,12,0,2023-03-03 03:12:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,13,0,2023-03-03 03:13:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,14,0,2023-03-03 03:14:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,15,0,2023-03-03 03:15:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,16,0,2023-03-03 03:16:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,17,0,2023-03-03 03:17:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,18,0,2023-03-03 03:18:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,19,0,2023-03-03 03:19:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,20,0,2023-03-03 03:20:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,21,0,2023-03-03 03:21:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,22,0,2023-03-03 03:22:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,23,0,2023-03-03 03:23:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,24,0,2023-03-03 03:24:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,25,0,2023-03-03 03:25:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,26,0,2023-03-03 03:26:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,27,0,2023-03-03 03:27:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,28,0,2023-03-03 03:28:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,29,0,2023-03-03 03:29:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,30,0,2023-03-03 03:30:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,31,0,2023-03-03 03:31:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,32,0,2023-03-03 03:32:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,33,0,2023-03-03 03:33:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,34,0,2023-03-03 03:34:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,35,0,2023-03-03 03:35:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,36,0,2023-03-03 03:36:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,37,0,2023-03-03 03:37:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,38,0,2023-03-03 03:38:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,39,0,2023-03-03 03:39:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,40,0,2023-03-03 03:40:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,41,0,2023-03-03 03:41:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,42,0,2023-03-03 03:42:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,43,0,2023-03-03 03:43:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,44,0,2023-03-03 03:44:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,45,0,2023-03-03 03:45:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,46,0,2023-03-03 03:46:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,47,0,2023-03-03 03:47:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,48,0,2023-03-03 03:48:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,49,0,2023-03-03 03:49:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,50,0,2023-03-03 03:50:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,51,0,2023-03-03 03:51:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,52,0,2023-03-03 03:52:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,53,0,2023-03-03 03:53:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,54,0,2023-03-03 03:54:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,55,0,2023-03-03 03:55:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,56,0,2023-03-03 03:56:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,57,0,2023-03-03 03:57:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,58,0,2023-03-03 03:58:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,3,59,0,2023-03-03 03:59:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,0,0,2023-03-03 04:00:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,1,0,2023-03-03 04:01:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,2,0,2023-03-03 04:02:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,3,0,2023-03-03 04:03:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,4,0,2023-03-03 04:04:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,5,0,2023-03-03 04:05:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,6,0,2023-03-03 04:06:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,7,0,2023-03-03 04:07:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,8,0,2023-03-03 04:08:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,9,0,2023-03-03 04:09:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,10,0,2023-03-03 04:10:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,11,0,2023-03-03 04:11:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,12,0,2023-03-03 04:12:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,13,0,2023-03-03 04:13:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,14,0,2023-03-03 04:14:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,15,0,2023-03-03 04:15:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,16,0,2023-03-03 04:16:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,17,0,2023-03-03 04:17:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,18,0,2023-03-03 04:18:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,19,0,2023-03-03 04:19:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,20,0,2023-03-03 04:20:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,21,0,2023-03-03 04:21:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,22,0,2023-03-03 04:22:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,23,0,2023-03-03 04:23:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,24,0,2023-03-03 04:24:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,25,0,2023-03-03 04:25:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,26,0,2023-03-03 04:26:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,27,0,2023-03-03 04:27:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,4,28,0,2023-03-03 04:28:00,"LD","F","09:00 AM","09:00 PM","night"
